"","SRA.accession","organism","percent","detected","source","collection.date","location","library_strategy","library_source","sample_name","bioproject","total_detected_targets","processed"
"1","SRR37356564","Norovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"2","SRR37356564","Rotavirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"3","SRR37356564","Parvovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"4","SRR37356564","Enterovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"5","SRR37356564","Astrovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"6","SRR37356564","Poliovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"7","SRR37356564","Sapovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"8","SRR37356564","Adenovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"9","SRR37356564","Morbillivirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"10","SRR37356564","Unclassified",100,1,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl32345-EEn35","PRJNA1427925",0,"True"
"11","SRR37356566","Norovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"12","SRR37356566","Rotavirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"13","SRR37356566","Parvovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"14","SRR37356566","Enterovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"15","SRR37356566","Astrovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"16","SRR37356566","Poliovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"17","SRR37356566","Sapovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"18","SRR37356566","Adenovirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"19","SRR37356566","Morbillivirus",0,0,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
"20","SRR37356566","Unclassified",100,1,"raw sewage","2019-09-09","USA: Washington D.C.","WGS","GENOMIC","vB_Ecl420170-EEn26","PRJNA1427925",0,"True"
