"","X.2","X.1","X","SRA.accession","organism","percent","detected","source","collection.date","location","library_strategy","library_source","sample_name","bioproject","total_detected_targets","processed"
"1",1,1,1,"SRR38114844","Norovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"2",2,2,2,"SRR38114844","Rotavirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"3",3,3,3,"SRR38114844","Parvovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"4",4,4,4,"SRR38114844","Enterovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"5",5,5,5,"SRR38114844","Astrovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"6",6,6,6,"SRR38114844","Poliovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"7",7,7,7,"SRR38114844","Sapovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"8",8,8,8,"SRR38114844","Adenovirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"9",9,9,9,"SRR38114844","Morbillivirus",0,0,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"10",10,10,10,"SRR38114844","Unclassified",100,1,"Wastewater influent","2026-03-24","USA:NY","WGS","GENOMIC","EHS2500069334-01-00","PRJNA514286",0,"True"
"11",11,11,11,"SRR38114845","Norovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"12",12,12,12,"SRR38114845","Rotavirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"13",13,13,13,"SRR38114845","Parvovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"14",14,14,14,"SRR38114845","Enterovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"15",15,15,15,"SRR38114845","Astrovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"16",16,16,16,"SRR38114845","Poliovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"17",17,17,17,"SRR38114845","Sapovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"18",18,18,18,"SRR38114845","Adenovirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"19",19,19,19,"SRR38114845","Morbillivirus",0,0,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"20",20,20,20,"SRR38114845","Unclassified",100,1,"Wastewater influent","2026-03-26","USA:NY","WGS","GENOMIC","EHS2500052304-01-00","PRJNA183850",0,"True"
"21",21,21,21,"SRR38324877","Norovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"22",22,22,22,"SRR38324877","Rotavirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"23",23,23,23,"SRR38324877","Parvovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"24",24,24,24,"SRR38324877","Enterovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
"25",25,25,25,"SRR38324877","Astrovirus",0,0,"wastewater","2026-02-24","USA: Utah","WGS","GENOMIC","HW-SINK-4-DRAIN","PRJNA1428285",0,"True"
