experiment_id	library_strategy	library_selection	taxon_id	scientific_name	collection_date	location	lat_lon
SRX33054853	WGS	RANDOM	527639	wastewater metagenome	2023-04-17	USA: North Carolina, Greensboro
SRX33054852	WGS	RANDOM	527639	wastewater metagenome	2023-01-29	USA: North Carolina, Greensboro
SRX33054851	WGS	RANDOM	527639	wastewater metagenome	2022-11-28	USA: North Carolina, Greensboro
SRX33054850	WGS	RANDOM	527639	wastewater metagenome	2022-08-24	USA: North Carolina, Greensboro
SRX33054849	WGS	RANDOM	527639	wastewater metagenome	2022-01-11	USA: North Carolina, Greensboro
SRX33054848	WGS	RANDOM	527639	wastewater metagenome	2022-01-06	USA: North Carolina, Greensboro
SRX33054847	WGS	RANDOM	527639	wastewater metagenome	2021-08-25	USA: North Carolina, Greensboro
SRX33054846	WGS	RANDOM	527639	wastewater metagenome	2021-08-13	USA: North Carolina, Greensboro
SRX33054845	WGS	RANDOM	527639	wastewater metagenome	2023-11-30	USA: North Carolina, Greensboro
SRX33054844	WGS	RANDOM	527639	wastewater metagenome	2023-10-20	USA: North Carolina, Greensboro
SRX33054843	WGS	RANDOM	527639	wastewater metagenome	2021-04-13	USA: North Carolina, Greensboro
SRX33054842	WGS	RANDOM	527639	wastewater metagenome	2021-03-23	USA: North Carolina, Greensboro
SRX30724003	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723957	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX32677898	WGS	RANDOM	527639	wastewater metagenome	2024-07-26	USA:North Carolina	36.0036 N 78.9382 W
SRX32677897	WGS	RANDOM	527639	wastewater metagenome	2024-07-26	USA:North Carolina	36.0036 N 78.9382 W
SRX32595024	WGS	RANDOM	256318	metagenome	2025-10-27	USA: Tuscaloosa	33.2114 N 87.5401 W
SRX32595023	WGS	RANDOM	256318	metagenome	2025-10-27	USA: Tuscaloosa	33.2114 N 87.5401 W
SRX32595022	WGS	RANDOM	256318	metagenome	2025-10-27	USA: Tuscaloosa	33.2114 N 87.5401 W
SRX32595021	WGS	RANDOM	256318	metagenome	2025-10-27	USA: Tuscaloosa	33.2114 N 87.5401 W
SRX32595020	WGS	RANDOM	256318	metagenome	2025-10-27	USA: Tuscaloosa	33.2114 N 87.5401 W
SRX32070260	WGS	PCR	1070528	viral metagenome	2024-04-18	USA: California, Livermore	37.691012 N 121.806394 W
SRX31955310	WGS	PCR	527639	wastewater metagenome	2024-04-18	USA: California, Livermore	37.691012 N 121.806394 W
SRX31955309	WGS	PCR	527639	wastewater metagenome	2024-04-18	USA: California, Livermore	37.691012 N 121.806394 W
SRX31955308	WGS	PCR	527639	wastewater metagenome	2024-04-18	USA: California, Livermore	37.691012 N 121.806394 W
SRX31955307	WGS	PCR	527639	wastewater metagenome	2024-04-18	USA: California, Livermore	37.691012 N 121.806394 W
SRX31955306	WGS	PCR	527639	wastewater metagenome	2024-04-18	USA: California, Livermore	37.691012 N 121.806394 W
SRX31543955	WGS	RANDOM	527639	wastewater metagenome	2023-04-24	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543954	WGS	RANDOM	527639	wastewater metagenome	2023-03-13	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543953	WGS	RANDOM	527639	wastewater metagenome	2023-02-27	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543952	WGS	RANDOM	527639	wastewater metagenome	2023-02-13	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543951	WGS	RANDOM	527639	wastewater metagenome	2023-02-06	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543948	WGS	RANDOM	527639	wastewater metagenome	2023-05-01	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543947	WGS	RANDOM	527639	wastewater metagenome	2023-05-01	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543946	WGS	RANDOM	527639	wastewater metagenome	2023-05-01	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543945	WGS	RANDOM	527639	wastewater metagenome	2023-05-01	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543944	WGS	RANDOM	527639	wastewater metagenome	2023-05-01	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543943	WGS	RANDOM	527639	wastewater metagenome	2023-03-06	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543942	WGS	RANDOM	527639	wastewater metagenome	2023-01-30	USA: OH, Williamsburg	39.0574495 N 84.0476075 W
SRX31543786	WGS	RANDOM	527639	wastewater metagenome	2023-01-23	USA: OH, Milford	39.1356145 N 84.2523027 W
SRX31543775	WGS	RANDOM	527639	wastewater metagenome	2023-05-08	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543774	WGS	RANDOM	527639	wastewater metagenome	2023-05-08	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543773	WGS	RANDOM	527639	wastewater metagenome	2023-05-08	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543772	WGS	RANDOM	527639	wastewater metagenome	2023-05-08	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543771	WGS	RANDOM	527639	wastewater metagenome	2023-05-08	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543770	WGS	RANDOM	527639	wastewater metagenome	2023-05-08	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543768	WGS	RANDOM	527639	wastewater metagenome	2023-04-24	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543767	WGS	RANDOM	527639	wastewater metagenome	2023-04-24	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543766	WGS	RANDOM	527639	wastewater metagenome	2023-04-24	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543765	WGS	RANDOM	527639	wastewater metagenome	2023-04-24	USA: OH, Milford	39.145818 N 84.253618 W
SRX31543764	WGS	RANDOM	527639	wastewater metagenome	2023-04-24	USA: OH, Milford	39.145818 N 84.253618 W
SRX30989081	WGS	RANDOM	527639	wastewater metagenome	2025-09-03	USA: Kansas
SRX30989080	WGS	RANDOM	527639	wastewater metagenome	2025-09-02	USA: Kansas
SRX30989079	WGS	RANDOM	527639	wastewater metagenome	2025-08-29	USA: Kansas
SRX30989078	WGS	RANDOM	527639	wastewater metagenome	2025-08-27	USA: Kansas
SRX30989077	WGS	RANDOM	527639	wastewater metagenome	2025-08-27	USA: Kansas
SRX30989075	WGS	RANDOM	527639	wastewater metagenome	2025-08-25	USA: Kansas
SRX30989073	WGS	RANDOM	527639	wastewater metagenome	2025-09-03	USA: Kansas
SRX30989072	WGS	RANDOM	527639	wastewater metagenome	2025-08-19	USA: Kansas
SRX30989071	WGS	RANDOM	527639	wastewater metagenome	2025-08-18	USA: Kansas
SRX30988905	WGS	RANDOM	527639	wastewater metagenome	2025-09-24	USA: Kansas
SRX30988904	WGS	RANDOM	527639	wastewater metagenome	2025-09-16	USA: Kansas
SRX30988903	WGS	RANDOM	527639	wastewater metagenome	2025-09-15	USA: Kansas
SRX30988902	WGS	RANDOM	527639	wastewater metagenome	2025-09-16	USA: Kansas
SRX30988901	WGS	RANDOM	527639	wastewater metagenome	2025-09-12	USA: Kansas
SRX30988900	WGS	RANDOM	527639	wastewater metagenome	2025-08-27	USA: Kansas
SRX30865613	WGS	other	718308	biofilm metagenome	2022-12-29	USA: Florida	27.994402 N 81.760254 W
SRX30865612	WGS	other	718308	biofilm metagenome	2022-12-29	USA: Florida	27.994402 N 81.760254 W
SRX30737560	WGS	RANDOM	3466770	Bf12P1 siphovirus	2022	USA:WA,Seattle,West Point Treatment Plant
SRX30724002	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30724001	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30724000	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723999	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723997	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723996	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723995	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723994	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723993	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723992	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723991	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723990	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723989	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723988	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723987	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723986	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723985	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723984	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723978	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723971	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723970	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723969	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723968	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723967	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723966	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723965	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723964	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723963	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723962	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723961	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723960	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723959	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723958	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723956	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30723955	WGS	RANDOM	527639	wastewater metagenome	2021-12-06	USA: Virginia	37.15649 N 80.47092 W
SRX30693596	WGS	RANDOM	1076179	bioreactor metagenome	2023-07-26	USA: Madison, Wisconsi	43.0738 N 89.414 W
SRX30299169	WGS	RANDOM	527639	wastewater metagenome	2020-02-07	USA: Denver, Colorado	39.7823 N 104.9101 W
SRX30298330	WGS	RANDOM	1076179	bioreactor metagenome	2020-01-13	USA: Denver, Colorado	39.7823 N 104.9101 W
