"percent","count","count_taxon_exclusive","rank_code","ncbi_taxon_id","scientific_name","sample_srx","summary_date"
99.9998035241,13233146,13233146,"U",0,"unclassified","ERX13070721",2026-04-27
6.04541e-05,8,8,"S3",658048,"Measles virus genotype B3","ERX13070721",2026-04-27
4.53406e-05,6,6,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","ERX13070721",2026-04-27
3.02271e-05,4,4,"S1",138949,"Enterovirus B","ERX13070721",2026-04-27
3.02271e-05,4,4,"S1",138950,"Enterovirus C","ERX13070721",2026-04-27
3.02271e-05,4,2,"S1",138951,"Enterovirus D","ERX13070721",2026-04-27
1.51135e-05,2,2,"S2",42789,"enterovirus D68","ERX13070721",2026-04-27
99.9997872961,3290953,3290953,"U",0,"unclassified","ERX13074806",2026-04-27
0.0001215451,4,4,"S1",130309,"Human mastadenovirus F","ERX13074806",2026-04-27
3.03863e-05,1,1,"S3",658048,"Measles virus genotype B3","ERX13074806",2026-04-27
3.03863e-05,1,1,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","ERX13074806",2026-04-27
3.03863e-05,1,1,"S1",28875,"Rotavirus A","ERX13074806",2026-04-27
100,768819,768819,"U",0,"unclassified","SRX17036024",2026-04-27
99.9974513898,1098610,1098610,"U",0,"unclassified","SRX20550415",2026-04-27
0.0005461308,6,6,"S1",138949,"Enterovirus B","SRX20550415",2026-04-27
0.0005461308,6,3,"S1",138951,"Enterovirus D","SRX20550415",2026-04-27
0.0002730654,3,3,"S2",42789,"enterovirus D68","SRX20550415",2026-04-27
0.0001820436,2,2,"S1",138948,"Enterovirus A","SRX20550415",2026-04-27
0.0001820436,2,2,"S2",122929,"Norovirus GII","SRX20550415",2026-04-27
9.10218e-05,1,1,"S3",758863,"Sapovirus Hu/GI/Sapporo/MT-2010/1982","SRX20550415",2026-04-27
0.0002730654,3,3,"S3",658048,"Measles virus genotype B3","SRX20550415",2026-04-27
9.10218e-05,1,1,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","SRX20550415",2026-04-27
0.000455109,5,5,"S1",130309,"Human mastadenovirus F","SRX20550415",2026-04-27
0.0001820436,2,2,"S1",10798,"Human parvovirus B19","SRX20550415",2026-04-27
100,551025,551025,"U",0,"unclassified","SRX23658931",2026-04-27
99.9999258584,60694622,60694622,"U",0,"unclassified","SRX23837738",2026-04-27
6.5904e-06,4,4,"S1",138950,"Enterovirus C","SRX23837738",2026-04-27
4.9428e-06,3,3,"S1",138948,"Enterovirus A","SRX23837738",2026-04-27
4.9428e-06,3,3,"S1",138949,"Enterovirus B","SRX23837738",2026-04-27
4.9428e-06,3,1,"S1",138951,"Enterovirus D","SRX23837738",2026-04-27
3.2952e-06,2,2,"S2",42789,"enterovirus D68","SRX23837738",2026-04-27
8.238e-06,5,5,"S3",758863,"Sapovirus Hu/GI/Sapporo/MT-2010/1982","SRX23837738",2026-04-27
4.9428e-06,3,3,"S2",122929,"Norovirus GII","SRX23837738",2026-04-27
3.2952e-06,2,2,"S",1868658,"Human astrovirus","SRX23837738",2026-04-27
6.5904e-06,4,4,"S3",658048,"Measles virus genotype B3","SRX23837738",2026-04-27
4.9428e-06,3,3,"S3",884095,"Measles virus strain MVi/Virginia.USA/15.09","SRX23837738",2026-04-27
8.238e-06,5,5,"S1",28875,"Rotavirus A","SRX23837738",2026-04-27
1.48283e-05,9,9,"S1",130309,"Human mastadenovirus F","SRX23837738",2026-04-27
1.6476e-06,1,1,"S1",10798,"Human parvovirus B19","SRX23837738",2026-04-27
100,492022,492022,"U",0,"unclassified","SRX25958265",2026-04-27
99.999989475,28503595,28503595,"U",0,"unclassified","SRX26273246",2026-04-27
1.0525e-05,3,3,"S",1868658,"Human astrovirus","SRX26273246",2026-04-27
100,377311,377311,"U",0,"unclassified","SRX26304777",2026-04-27
100,268043,268043,"U",0,"unclassified","SRX26919627",2026-04-27
99.9999919152,37106644,37106644,"U",0,"unclassified","SRX7052244",2026-04-27
5.3899e-06,2,2,"S3",658048,"Measles virus genotype B3","SRX7052244",2026-04-27
2.6949e-06,1,0,"S1",138951,"Enterovirus D","SRX7052244",2026-04-27
2.6949e-06,1,1,"S2",42789,"enterovirus D68","SRX7052244",2026-04-27
