"sample_srx","summary_date","unclassified","Measles virus genotype B3","Measles virus strain MVi/Virginia.USA/15.09","Enterovirus B","Enterovirus C","Enterovirus D","enterovirus D68","Human mastadenovirus F","Rotavirus A","Enterovirus A","Norovirus GII","Sapovirus Hu/GI/Sapporo/MT-2010/1982","Human parvovirus B19","Human astrovirus"
"ERX13070721",2026-04-27,13233146,8,6,4,4,4,2,NA,NA,NA,NA,NA,NA,NA
"ERX13074806",2026-04-27,3290953,1,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA
"SRX17036024",2026-04-27,768819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX20550415",2026-04-27,1098610,3,1,6,NA,6,3,5,NA,2,2,1,2,NA
"SRX23658931",2026-04-27,551025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX23837738",2026-04-27,60694622,4,3,3,4,3,2,9,5,3,3,5,1,2
"SRX25958265",2026-04-27,492022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26273246",2026-04-27,28503595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"SRX26304777",2026-04-27,377311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX26919627",2026-04-27,268043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRX7052244",2026-04-27,37106644,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
